YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,6,30,1,20436,N606FR,12478,13204,659,49,49,1,3,0,,0,49,0,1,0,0
2025,6,30,1,20436,N664FR,12478,12889,659,48,48,1,3,0,,0,39,0,4,0,9
2025,6,30,1,19790,N312DN,12478,15304,700,16,16,1,1,0,,0,16,0,13,0,0
2025,6,30,1,19790,N328DN,12478,13204,700,0,0,0,0,0,,0,,,,,
2025,6,30,1,19790,N422DZ,12478,12892,700,15,15,1,1,0,,0,15,0,7,0,0
2025,6,30,1,19790,N574DT,12478,14869,700,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N705TW,12478,14771,700,0,0,0,0,0,,0,,,,,
2025,6,30,1,19790,N868DN,12478,13303,700,-4,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N928DU,12478,10423,700,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N9004F,12478,15024,700,-3,0,0,-1,0,,0,0,0,34,0,0
2025,6,30,1,19930,N585AS,12478,14747,700,7,7,0,0,0,,0,0,0,37,0,0
2025,6,30,1,20409,N934JB,12478,12892,700,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N509DT,12478,14747,705,-5,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N3749D,12478,14635,710,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N583DT,12478,12889,715,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N102NN,12478,12892,720,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N356TX,12478,14107,720,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N133DU,12478,13487,730,-4,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N764US,12478,13930,730,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3065J,12478,10792,730,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N789JB,12478,14027,730,-4,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N985JT,12478,14679,730,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N331DN,12478,11697,735,3,3,0,0,0,,0,,,,,
2025,6,30,1,19790,N377DA,12478,14683,735,0,0,0,0,0,,0,,,,,
2025,6,30,1,19805,N300UB,12478,13303,743,0,0,0,0,0,,0,,,,,
2025,6,30,1,19805,N107NN,12478,14771,755,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,20452,N113HQ,12478,11193,757,13,13,0,0,0,,0,13,0,22,0,0
2025,6,30,1,19805,N561UW,12478,11057,759,-5,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N3747D,12478,14027,800,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N545DE,12478,14843,800,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N319TE,12478,12889,800,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N957AN,12478,11298,800,829,829,1,12,0,,0,0,0,118,0,824
2025,6,30,1,20409,N509JB,12478,10994,800,15,15,1,1,0,,0,15,0,18,0,0
2025,6,30,1,20409,N942JB,12478,12892,801,-7,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N588DT,12478,14107,805,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N6712B,12478,15024,805,-7,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N534JB,12478,11292,805,-6,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N318NB,12478,13495,810,-7,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3102J,12478,14685,815,-6,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3185J,12478,13930,824,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N964JT,12478,14771,825,4,4,0,0,0,,0,,,,,
2025,6,30,1,19805,N108NN,12478,14908,829,-7,0,0,-1,0,,0,0,0,23,0,0
2025,6,30,1,20409,N3023J,12478,13204,829,12,12,0,0,0,,0,12,0,7,0,0
2025,6,30,1,20409,N975JT,12478,11697,829,6,6,0,0,0,,0,,,,,
2025,6,30,1,20452,N134HQ,12478,10721,829,-13,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N145DQ,12478,11298,830,63,63,1,4,0,,0,0,0,0,0,48
2025,6,30,1,19790,N6701,12478,10397,830,11,11,0,0,0,,0,,,,,
2025,6,30,1,20409,N3240J,12478,10721,830,15,15,1,1,0,,0,15,0,2,0,0
2025,6,30,1,19790,N177DZ,12478,12892,840,0,0,0,0,0,,0,,,,,
2025,6,30,1,20452,N233JQ,12478,11278,840,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N580DT,12478,14679,845,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N836DN,12478,11292,845,-7,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N967JT,12478,14843,850,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N569JB,12478,14635,859,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N172DN,12478,14771,900,-4,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N188DN,12478,12173,900,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N546DN,12478,14057,900,5,5,0,0,0,,0,,,,,
2025,6,30,1,19805,N117AN,12478,12892,900,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3215J,12478,14986,900,4,4,0,0,0,,0,,,,,
2025,6,30,1,20409,N4073J,12478,12892,900,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,20436,N393FR,12478,10397,900,-5,0,0,-1,0,,0,0,0,15,0,0
2025,6,30,1,19690,N780HA,12478,12173,905,103,103,1,6,0,,0,0,0,0,0,79
2025,6,30,1,20452,N654RW,12478,11278,908,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3157J,12478,14576,915,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3142J,12478,13541,925,-5,0,0,-1,0,,0,,,,,
2025,6,30,1,20452,N215JQ,12478,10721,928,-6,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3162J,12478,13495,929,15,15,1,1,0,,0,,,,,
2025,6,30,1,20409,N2142J,12478,12889,930,-9,0,0,-1,0,,0,,,,,
2025,6,30,1,20452,N105HQ,12478,13931,930,-9,0,0,-1,0,,0,,,,,
2025,6,30,1,20452,N234JQ,12478,11066,930,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19930,N813AK,12478,10299,940,10,10,0,0,0,,0,,,,,
2025,6,30,1,20452,N109HQ,12478,11066,940,-11,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N176DZ,12478,12892,955,-7,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N381DZ,12478,13204,955,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19930,N251AK,12478,14679,1000,-9,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N977JE,12478,12892,1010,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N597JB,12478,10792,1013,38,38,1,2,0,,0,15,0,0,0,6
2025,6,30,1,20409,N621JB,12478,15304,1030,40,40,1,2,0,,0,10,0,0,0,18
2025,6,30,1,20409,N3152J,12478,10154,1035,-6,0,0,-1,0,,0,,,,,
2025,6,30,1,20452,N434YX,12478,14492,1052,6,6,0,0,0,,0,,,,,
2025,6,30,1,20409,N597JB,12478,10721,1059,311,311,1,12,0,,0,59,0,0,0,237
2025,6,30,1,19805,N113AN,12478,12892,1100,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N934NN,12478,13303,1100,0,0,0,0,0,,0,,,,,
2025,6,30,1,20409,N3229J,12478,12451,1100,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20436,N613FR,12478,14843,1100,33,33,1,2,0,,1,,,,,
2025,6,30,1,19790,N308DN,12478,11697,1105,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N957AN,12478,10423,1105,-9,0,0,-1,0,,0,,,,,
2025,6,30,1,19790,N869DN,12478,13303,1110,0,0,0,0,0,,0,,,,,
2025,6,30,1,20452,N210JQ,12478,11057,1112,-4,0,0,-1,0,,0,,,,,
